id,title,authors,publishedDate,categories,description,averageRating,ratingsCount,source_query
oNY0DwAAQBAJ,There There,Tommy Orange,2018-06-05,Fiction,"PULITZER PRIZE FINALIST • NATIONAL BESTSELLER • A wondrous and shattering award-winning novel that follows twelve characters from Native communities: all traveling to the Big Oakland Powwow, all connected to one another in ways they may not yet realize. A contemporary classic, this “astonishing literary debut” (Margaret Atwood, bestselling author of The Handmaid’s Tale) “places Native American voices front and center” (NPR/Fresh Air). One of The Atlantic’s Great American Novels of the Past 100 Years Among them is Jacquie Red Feather, newly sober and trying to make it back to the family she left behind. Dene Oxendene, pulling his life together after his uncle’s death and working at the powwow to honor his memory. Fourteen-year-old Orvil, coming to perform traditional dance for the very first time. They converge and collide on one fateful day at the Big Oakland Powwow and together this chorus of voices tells of the plight of the urban Native American—grappling with a complex and painful history, with an inheritance of beauty and spirituality, with communion and sacrifice and heroism A book with “so much jangling energy and brings so much news from a distinct corner of American life that it’s a revelation” (The New York Times). It is fierce, funny, suspenseful, and impossible to put down--full of poetry and rage, exploding onto the page with urgency and force. There There is at once poignant and unflinching, utterly contemporary and truly unforgettable. Don't miss Tommy Orange's new book, Wandering Stars!",5.0,2.0,subject:fiction
KVGd-NabpW0C,The Plague,Albert Camus,1991-05-07,Fiction,"“Its relevance lashes you across the face.” —Stephen Metcalf, The Los Angeles Times • “A redemptive book, one that wills the reader to believe, even in a time of despair.” —Roger Lowenstein, The Washington Post A haunting tale of human resilience and hope in the face of unrelieved horror, Albert Camus' iconic novel about an epidemic ravaging the people of a North African coastal town is a classic of twentieth-century literature. The townspeople of Oran are in the grip of a deadly plague, which condemns its victims to a swift and horrifying death. Fear, isolation and claustrophobia follow as they are forced into quarantine. Each person responds in their own way to the lethal disease: some resign themselves to fate, some seek blame, and a few, like Dr. Rieux, resist the terror. An immediate triumph when it was published in 1947, The Plague is in part an allegory of France's suffering under the Nazi occupation, and a timeless story of bravery and determination against the precariousness of human existence.",4.5,14.0,subject:fiction
ptQSSgAACAAJ,The Lone Star Ranger,Zane Grey,2010-05-01,,,,,subject:fiction
EhSj9KDEPmwC,The Odyssey of Homer,Richmond Lattimore,1967,Fiction,The most eloquent translation of Homer's Odyssey into modern English.,,,subject:fiction
icKmd-tlvPMC,Journey to the Center of the Earth,Jules Verne,2006-04-25,Fiction,"The intrepid Professor Lindenbrock embarks upon the strangest expedition of the nineteenth century: a journey down an extinct Icelandic volcano to the Earth’s very core. In his quest to penetrate the planet’s primordial secrets, the geologist—together with his quaking nephew Axel and their devoted guide, Hans—discovers an astonishing subterranean menagerie of prehistoric proportions. Verne’s imaginative tale is at once the ultimate science fiction adventure and a reflection on the perfectibility of human understanding and the psychology of the questor. As David Brin notes in his Introduction, though Verne never knew the term “science fiction,” Journey to the Centre of the Earth is “inarguably one of the wellsprings from which it all began.”",3.5,3.0,subject:fiction
OqAFAQAAIAAJ,Mrs. Dalloway,Virginia Woolf,1925,Fiction,"Heralded as Virginia Woolf's greatest novel, this is a vivid portrait of a single day in a woman's life. When we meet her, Mrs. Clarissa Dalloway is preoccupied with the last-minute details of party preparation while in her mind she is something much more than a perfect society hostess. As she readies her house, she is flooded with remembrances of faraway times. And, met with the realities of the present, Clarissa reexamines the choices that brought her there, hesitantly looking ahead to the unfamiliar work of growing old. ""Mrs. Dalloway was the first novel to split the atom. If the novel before Mrs. Dalloway aspired to immensities of scope and scale, to heroic journeys across vast landscapes, with Mrs. Dalloway Virginia Woolf insisted that it could also locate the enormous within the everyday; that a life of errands and party-giving was every bit as viable a subject as any life lived anywhere; and that should any human act in any novel seem unimportant, it has merely been inadequately observed. The novel asan art form has not been the same since. ""Mrs. Dalloway also contains some of the most beautiful, complex, incisive and idiosyncratic sentences ever written in English, and that alone would be reason enough to read it. It is one of the most moving, revolutionary artworks of the twentieth century."" --Michael Cunningham, author of The Hours",,,subject:fiction
MRoMUV2kLZEC,Mysteries,Knut Hamsun,2001-01-01,Fiction,"The first complete English translation of the Nobel Prize-winner’s literary masterpiece A Penguin Classic Mysteries is the story of Johan Nilsen Nagel, a mysterious stranger who suddenly turns up in a small Norwegian town one summer—and just as suddenly disappears. Nagel is a complete outsider, a sort of modern Christ treated in a spirit of near parody. He condemns the politics and thought of the age, brings comfort to the “insulted and injured,” and gains the love of two women suggestive of the biblical Mary and Martha. But there is a sinister side of him: in his vest he carries a vial of prussic acid... The novel creates a powerful sense of Nagel's stream of thought, as he increasingly withdraws into the torture chamber of his own subconscious psyche. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,800 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",4.0,3.0,subject:fiction
7WjitMEwF78C,Web of Dreams,V.C. Andrews,2009-11-24,Fiction,"With nowhere to go, no one to help her, will Leigh flee into the arms of the one person she shouldn’t run to? Don’t miss this fifth and final installment in the Casteel family saga from New York Times bestselling author and literary phenomenon V.C. Andrews (Flowers in the Attic, My Sweet Audrina), now a major Lifetime movie event. Leigh VanVoreen had to escape from Boston’s Farthinggale Manor. The foul secret she harbored within her seemed to darken her life forever. Jillian, her mother, would not believe her, and Tony Tatterton, her stepfather, had betrayed her cruelly. But the pure devotion of Luke Casteel promised her hope and respect. Only Luke knew her deepest of secrets…only Luke would love and protect her. Bravely she bore the suspicions of the Willies’ hillfolk, as she tried to grasp the happiness that had so long eluded her. Leigh prayed with all her heart that her bright, shining dreams would save her from tragedy at last…",,,subject:fiction
X_dvDwAAQBAJ,Candide,Voltaire,1984-04-01,Fiction,"Candide is the story of a gentle man who, though pummeled and slapped in every direction by fate, clings desperately to the belief that he lives in ""the best of all possible worlds."" On the surface a witty, bantering tale, this eighteenth-century classic is actually a savage, satiric thrust at the philosophical optimism that proclaims that all disaster and human suffering is part of a benevolent cosmic plan. Fast, funny, often outrageous, the French philosopher's immortal narrative takes Candide around the world to discover that -- contrary to the teachings of his distringuished tutor Dr. Pangloss -- all is not always for the best. Alive with wit, brilliance, and graceful storytelling, Candide has become Voltaire's most celebrated work.",,,subject:fiction
7AaNEAAAQBAJ,The Cider House Rules,John Irving,1997-06-23,Fiction,"“The Cider House Rules is filled with people to love and to feel for. . . . The characters in John Irving’s novel break all the rules, and yet they remain noble and free-spirited.”—The Houston Post First published in 1985, The Cider House Rules is set in rural Maine in the first half of the twentieth century. The novel tells the story of Dr. Wilbur Larch—saint and obstetrician, founder and director of the orphanage in the town of St. Cloud’s, ether addict and abortionist. This is also the story of Dr. Larch’s favorite orphan, Homer Wells, who is never adopted. Praise for The Cider House Rules “ [Irving] is among the very best storytellers at work today. At the base of Irving’s own moral concerns is a rare and lasting regard for human kindness.”—The Philadelphia Inquirer “ Superb in scope and originality, a novel as good as one could hope to find from any author, anywhere, anytime. Engrossing, moving, thoroughly satisfying.”—Joseph Heller “ An old-fashioned, big-hearted novel . . . with its epic yearning caught in the nineteenth century, somewhere between Trollope and Twain.”—Boston Sunday Globe",,,subject:fiction
B9qLCgAAQBAJ,Pudd'nhead Wilson,Mark Twain,2016-05-24,Fiction,"Enriched Classics offer readers accessible editions of great works of literature enhanced by helpful notes and commentary. Each book includes educational tools alongside the text, enabling students and readers alike to gain a deeper and more developed understanding of the writer and their work. Mark Twain's darkly comic short classic set in the antebellum South stands as a literary condemnation of slavery and racial inequality. This edition includes: -A concise introduction that gives readers important background information -A chronology of the author's life and work -A timeline of significant events that provides the book's historical context -An outline of key themes and plot points to help readers form their own interpretations -Detailed explanatory notes -Critical analysis, including contemporary and modern perspectives on the work -Discussion questions to promote lively classroom and book group interaction -A list of recommended related books and films to broaden the reader's experience Enriched Classics offer readers affordable editions of great works of literature enhanced by helpful notes and insightful commentary. The scholarship provided in Enriched Classics enables readers to appreciate, understand, and enjoy the world's finest books to their full potential.",,,subject:fiction
40o3CqBrgocC,The Worship of the Serpent,John Bathurst Deane,,Fiction,,,,subject:fiction
V5mdEAAAQBAJ,Stories from the Pentamerone,Giambattista Basile,2022-11-23,Fiction,Reproduction of the original.,,,subject:fiction
8T9_cxH7z6sC,The Trial,Franz Kafka,1992-06-30,Fiction,"The story of the mysterious indictment, trial, and reckoning forced upon Joseph K—one of the twentieth century’s master parables from one of the greatest writers of the twentieth century, the author of The Metamorphosis. Translated by Willa and Edwin Muir The Trial reflects the central spiritual crises of modern life. Kafka’s method—one that has influenced, in some way, almost every writer of substance who followed him—was to render the absurd and the terrifying convincing by a scrupulous, hyperreal matter-of-factness of tone and treatment. He thereby imparted to his work a level of seriousness normally associated with civilization’s most cherished poems and religious texts. Everyman's Library pursues the highest production standards, printing on acid-free cream-colored paper, with full-cloth cases with two-color foil stamping, decorative endpapers, silk ribbon markers, European-style half-round spines, and a full-color illustrated jacket. Contemporary Classics include an introduction, a select bibliography, and a chronology of the author's life and times.",,,subject:fiction
XdMBTKWSfeMC,Taras Bulba,Nikolái V. Gogol,2006-12-19,Literary Criticism,"Feroces, crueles, valientes y apasionados, los cosacos hacen temblar la estepa bajo los cascos de sus caballos. Y entre ellos se encuentra Taras Bulba, un anciano lleno aún de fuerza e inteligencia que junto a sus hijos, Ostap y Andrí, avanzará por tierras polacas con intención de vengar su fe ortodoxa burlada por los católicos. Ninguna guarnición, ciudad amurallada o iglesia podrán detenerlos, hasta que la desgracia se cierna sobre ellos y el apuesto y enamoradizo Andrí haga que su padre maldiga el día en que lo engendró. Taras Bulba, una anomalía entre la obra más conocida de Gogol, es una aventura trepidante, una sinfonía en perpetuo crescendo, en la que cada capítulo es más intenso y sorprendente que el anterior. un fresco tan afinadamente dibujado y tan vívido que resulta absolutamente intemporal.",,,subject:fiction
qvk6DwAAQBAJ,Sense and Sensibility - Illustrated Edition,Jane Austen,2017-10-23,Fiction,"SENSE AND SENSIBILITY written by Jane Austen with 41 illustrations by Hugh Thomson. When Elinor Dashwood's father dies, her family's finances are crippled. After the Dashwoods move to a cottage in Devonshire, Elinor's sister Marianne is torn between the handsome John Willoughby and the older Colonel Brandon. Meanwhile, Elinor's romantic hopes with Edward Ferrars are hindered due to his prior engagement. Both Elinor and Marianne strive for love while the circumstances in their lives constantly change.",,,subject:fiction
QR9rEQAAQBAJ,White fang,Jack London,2025-07-03,Fiction,"In ush.the wild Yukon Territory, a fierce wolf-dog struggles to survive the harsh wilderness. Born of a wolf and raised among men, White Fang learns the brutal laws of nature and the cruelty of mankind. But amidst the violence, a glimmer of hope shines through when he encounters kindness for the first time. Will White Fang find his place in a world of man and beast, or be consumed by the savage forces around him?",,,subject:fiction
yzs6HicjgsAC,Cat's Cradle,Kurt Vonnegut,1998-09-08,Fiction,"“A free-wheeling vehicle . . . an unforgettable ride!”—The New York Times Cat’s Cradle is Kurt Vonnegut’s satirical commentary on modern man and his madness. An apocalyptic tale of this planet’s ultimate fate, it features a midget as the protagonist, a complete, original theology created by a calypso singer, and a vision of the future that is at once blackly fatalistic and hilariously funny. A book that left an indelible mark on an entire generation of readers, Cat’s Cradle is one of the twentieth century’s most important works—and Vonnegut at his very best. “[Vonnegut is] an unimitative and inimitable social satirist.”—Harper’s Magazine “Our finest black-humorist . . . We laugh in self-defense.”—Atlantic Monthly",4.0,148.0,subject:fiction
xZNVDAaxrGIC,The Boleyn Inheritance,Philippa Gregory,2008-12-30,Fiction,"THREE WOMEN WHO SHARE ONE FATE: THE BOLEYN INHERITANCE ANNE OF CLEVES She runs from her tiny country, her hateful mother, and her abusive brother to a throne whose last three occupants are dead. King Henry VIII, her new husband, instantly dislikes her. Without friends, family, or even an understanding of the language being spoken around her, she must literally save her neck in a court ruled by a deadly game of politics and the terror of an unpredictable and vengeful king. Her Boleyn Inheritance: accusations and false witnesses. KATHERINE HOWARD She catches the king's eye within moments of arriving at court, setting in motion the dreadful machine of politics, intrigue, and treason that she does not understand. She only knows that she is beautiful, that men desire her, that she is young and in love -- but not with the diseased old man who made her queen, beds her night after night, and killed her cousin Anne. Her Boleyn Inheritance: the threat of the axe. JANE ROCHFORD She is the Boleyn girl whose testimony sent her husband and sister-in-law to their deaths. She is the trusted friend of two threatened queens, the perfectly loyal spy for her uncle, the Duke of Norfolk, and a canny survivor in the murderous court of a most dangerous king. Throughout Europe, her name is a byword for malice, jealousy, and twisted lust. Her Boleyn Inheritance: a fortune and a title, in exchange for her soul. The Boleyn Inheritance is a novel drawn tight as a lute string about a court ruled by the gallows and three women whose positions brought them wealth, admiration, and power as well as deceit, betrayal, and terror. Once again, Philippa Gregory has brought a vanished world to life -- the whisper of a silk skirt on a stone stair, the yellow glow of candlelight illuminating a hastily written note, the murmurs of the crowd gathering on Tower Green below the newly built scaffold. In The Boleyn Inheritance Gregory is at her intelligent and page-turning best.",5.0,1.0,subject:fiction
lyWOEQAAQBAJ,Frankenstein,Mary Shelley,2025-10-10,Fiction,"Frankenstein; or, The Modern Prometheus is an 1818 Gothic novel written by English author Mary Shelley. Frankenstein tells the story of Victor Frankenstein, a young scientist who creates a sapient creature in an unorthodox scientific experiment that involved putting it together with different body parts. Shelley started writing the story when she was 18 and staying in Bath, and the first edition was published anonymously in London on 1 January 1818, when she was 20. Her name first appeared in the second edition, which was published in Paris in 1821. Shelley travelled through Europe in 1815, moving along the river Rhine in Germany, and stopping in Gernsheim, 17 kilometres (11 mi) away from Frankenstein Castle, where, about a century earlier, Johann Konrad Dippel, an alchemist, had engaged in experiments. She then journeyed to the region of Geneva, Switzerland, where much of the story takes place. Galvanism and occult ideas were topics of conversation for her companions, particularly for her lover and future husband Percy Bysshe Shelley. In 1816, Mary, Percy, John Polidori, and Lord Byron had a competition to see who would write the best horror story.",,,subject:fiction
9zfmEAAAQBAJ,Frankenstein,Mary Shelley,2023-12-27,Fiction,"Mary Shelley's 'Frankenstein' is a groundbreaking work of gothic literature that explores themes of ambition, isolation, and the consequences of playing god. Written in an epistolary format, the reader is drawn into the chilling tale of Victor Frankenstein and his creation, the monster. Shelley's descriptive prose and use of multiple narrators create a sense of foreboding and unease, making 'Frankenstein' a timeless classic in the literary canon. The novel also raises ethical questions about scientific responsibility and the limits of human knowledge, making it a thought-provoking read for modern audiences. Mary Shelley's personal experiences, including the death of her own children and her tumultuous relationship with Percy Bysshe Shelley, undoubtedly influenced the creation of 'Frankenstein.' Her unique perspective as a female author in the 19th century adds layers of depth to the story, highlighting the societal expectations and constraints faced by women of her time. I highly recommend 'Frankenstein' to readers who enjoy thought-provoking literature that delves into the darker aspects of human nature and morality.",,,subject:fiction
J_Kw1oREJcUC,Dreamcatcher,Stephen King,2001-03-20,Fiction,"From master storyteller Stephen King comes his classic #1 New York Times bestseller about four friends who encounter evil in the Maine woods. Twenty-five years ago, in their haunted hometown of Derry, Maine, four boys bravely stood together and saved a mentally challenged child from vicious local bullies. It was something that fundamentally changed them, in ways they could never begin to understand. These lifelong friends—now with separate lives and separate problems—make it a point to reunite every year for a hunting trip deep in the snowy Maine woods. This time, though, chaos erupts when a stranger suddenly stumbles into their camp, freezing, deliriously mumbling about lights in the sky. And all too quickly, the four companions are plunged into a horrifying struggle for survival with an otherworldly threat and the forces that oppose it...where their only chance of survival is locked into their shared past—and the extraordinary element that bonds them all...",,,subject:fiction
AqY4AwAAQBAJ,Irresistible,Lisa Kleypas,2014-12-22,Fiction,"En un mundo de apariencias, estaba dispuesta a arriesgarlo todo por una noche de amor. Novela ganadora del premio Romantic Times. Soltera y todavía virgen, la novelista Amanda Briars no está dispuesta a recibir su trigésimo cumpleaños sin haber hecho el amor. Cuando Jack Devlin llama a su puerta, cree que se trata del regalo que se ha hecho a sí misma: un hombre contratado para una noche de pasión. Aunque algo impide a Jack dar rienda suelta al deseo, su determinación de poseer a Amanda no se detendrá... Pero ella ansía la respetabilidad más de lo que está dispuesta a admitir mientras que Jack se niega a vivir conforme a las reglas de la sociedad victoriana. Sus respectivos mundos colisionarán con una pasión que ninguno de los dos esperaba...",,,subject:fiction
v7VPEQAAQBAJ,The Street of Crocodiles,Bruno Schulz,2025-03-19T00:00:00Z,Fiction,"''The Street of Crocodiles'' by Bruno Schulz (1892-1942) was first published in Polish in 1934; this English translation was first published in the US by Walker and Company in 1963, public domain. A novel that blends the real and the fantastic, from ""one of the most original imaginations in modern Europe"" (Cynthia Ozick). The Street of Crocodiles in the Polish city of Drogobych is a street of memories and dreams where recollections of Bruno Schulz's uncommon boyhood and of the eerie side of his merchant family's life are evoked in a startling blend of the real and the fantastic. Most memorable - and most chilling - is the portrait of the author's father, a maddened shopkeeper who imports rare birds' eggs to hatch in his attic, who believes tailors' dummies should be treated like people, and whose obsessive fear of cockroaches causes him to resemble one. Bruno Schulz, a Polish Jew killed by the Nazis in 1942, is considered by many to have been the leading Polish writer between the two world wars.",,,subject:fiction
Bqa5AAAAIAAJ,The Canterbury Tales,Geoffrey Chaucer,1977,Fiction,A translation into modern English of the medieval poem about a group of travelers on a pilgrimage to Canterbury and the tales they tell each other.,,,subject:fiction
1IppajWsSG4C,The Devil Wears Prada,Lauren Weisberger,2003,Fiction,"The deliciously witty and delightfully dishy novel about life at a glamorous fashion magazine is now a major motion picture from 20th Century Fox, starring Meryl Streep and Anne Hathaway, set to open in theaters on June 30.",,,subject:fiction
XbLqygAACAAJ,The Scarlet Letter,Nathaniel Hawthorne,2011-09-01,Juvenile Fiction,"A throng of bearded men, in sad-coloured garments and grey steeple-crowned hats, inter-mixed with women, some wearing hoods, and others bareheaded, was assembled in front of a wooden edifice, the door of which was heavily timbered with oak, and studded with iron spikes.",,,subject:fiction
FrPsAgAAQBAJ,Fallen Too Far,Abbi Glines,2014-03-04,Fiction,"Blaire Wynn left her small farmhouse in Alabama after her mother passed away to move in with her father and his new wife in their sprawling beach house along the Florida Gulf Coast. She isn't prepared for the lifestyle change and she knows she'll never fit into this world. Then there's her sexy stepbrother Rush, who's as spoiled as he is gorgeous: she knows he's anything but good for her and that he'll never be faithful to anyone.",5.0,1.0,subject:fiction
N3TGDgAAQBAJ,As Brave As You,Jason Reynolds,2016,Juvenile Fiction,"When two brothers decide to prove how brave they are, everything backfires--literally.",,,subject:fiction
ppb6XgPV0foC,Number One Ladies' Detective Agency,Alexander McCall Smith,2002,Fiction,"Working in Gaborone, Botswana, sleuth Precious Ramotswe investigates several local mysteries, including a search for a missing boy and the case of the clinic doctor with different personalities for different days of the week. Reprint. 12,500 first printing.",,,subject:fiction
BiaTEAAAQBAJ,Dark Lover,J.R. Ward,2014-02-19,Fiction,"Experience the start of J.R. Ward’s phenomenal #1 New York Times bestselling Black Dagger Brotherhood series. DON'T MISS PASSIONFLIX'S THE BLACK DAGGER BROTHERHOOD SERIES As the world’s only purebred vampire and the leader of the Black Dagger Brotherhood, Wrath has a score to settle with the slayers who killed his parents centuries ago. But when his most trusted fighter is killed—orphaning a half-breed daughter unaware of her heritage or her fate—Wrath must put down his dagger and usher the beautiful woman into another world. Racked by a restlessness in her body that wasn’t there before, Beth Randall is helpless against the dangerously sexy man who comes to her at night with shadows in his eyes. His tales of the Brotherhood and blood frighten her. Yet his touch ignites a dawning new hunger—one that threatens to consume them both.... INCLUDES A LETTER FROM J. R. WARD",,,subject:fiction
nAYBEAAAQBAJ,The Prophet,Kahlil Gibran,2020-10-29,Fiction,"A 20th century classic, The Prophet is thought-provoking, comforting and wise, and its simple truths remain compelling and rewarding to this day. Utterly unique and beloved around the world, The Prophet is a collection of twenty-six poetic essays by the Lebanese artist, philosopher and writer Kahlil Gibran. Telling the story of the prophet Al-Mustafa and his conversations with various acquaintances as he returns home after a long absence, the book touches on subjects of universal concern, including love, friendship, passion, pain, religion and freedom.",,,subject:fiction
6vGiDwAAQBAJ,The Picture of Dorian Gray,Oscar Wilde,2019-07-12,Fiction,"The Picture of Dorian Gray is the only published novel by Oscar Wilde, appearing as the lead story in Lippincott's Monthly Magazine on 20 June 1890, printed as the July 1890 issue. The magazine's editors feared the story was indecent as submitted, so they censored roughly 500 words, without Wilde's knowledge, before publication. But even with that, the story was still greeted with outrage by British reviewers, some of whom suggested that Wilde should be prosecuted on moral grounds, leading Wilde to defend the novel aggressively in letters to the British press. Today, Wilde's fin de siècle novella is considered a classic. This new edition from Immortal Books includes footnotes and images.",,,subject:fiction
